"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\acer\Desktop\app\src\App.js", "JavaScript", 35, 0, 1, 3, 39
"c:\Users\acer\Desktop\app\src\App.test.js", "JavaScript", 7, 0, 0, 2, 9
"c:\Users\acer\Desktop\app\src\Calendar.js", "JavaScript", 550, 0, 33, 36, 619
"c:\Users\acer\Desktop\app\src\CustomerDetail.js", "JavaScript", 530, 0, 44, 20, 594
"c:\Users\acer\Desktop\app\src\DataVisualization.js", "JavaScript", 35, 0, 0, 4, 39
"c:\Users\acer\Desktop\app\src\Home.js", "JavaScript", 104, 0, 2, 13, 119
"c:\Users\acer\Desktop\app\src\Login.js", "JavaScript", 92, 0, 6, 4, 102
"c:\Users\acer\Desktop\app\src\NavigationBar.js", "JavaScript", 93, 0, 2, 4, 99
"c:\Users\acer\Desktop\app\src\PersonalCenter.js", "JavaScript", 264, 0, 12, 15, 291
"c:\Users\acer\Desktop\app\src\Search.js", "JavaScript", 287, 0, 24, 25, 336
"c:\Users\acer\Desktop\app\src\UserManagement.js", "JavaScript", 476, 0, 42, 28, 546
"c:\Users\acer\Desktop\app\src\index.css", "CSS", 0, 12, 0, 2, 14
"c:\Users\acer\Desktop\app\src\index.js", "JavaScript", 15, 0, 3, 3, 21
"c:\Users\acer\Desktop\app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 2, 14
"c:\Users\acer\Desktop\app\src\setupTests.js", "JavaScript", 1, 0, 4, 1, 6
"Total", "-", 2501, 12, 173, 162, 2848
