"filename", "language", "JavaScript", "CSS", "JSON", "Python", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\acer\Desktop\app\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\acer\Desktop\app\locustfile.py", "Python", 0, 0, 0, 32, 0, 0, 1, 10, 43
"c:\Users\acer\Desktop\app\package-lock.json", "JSON", 0, 0, 18864, 0, 0, 0, 0, 1, 18865
"c:\Users\acer\Desktop\app\package.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 1, 44
"c:\Users\acer\Desktop\app\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 23, 1, 44
"c:\Users\acer\Desktop\app\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\acer\Desktop\app\src\App.js", "JavaScript", 35, 0, 0, 0, 0, 0, 1, 3, 39
"c:\Users\acer\Desktop\app\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\acer\Desktop\app\src\Calendar.js", "JavaScript", 550, 0, 0, 0, 0, 0, 33, 36, 619
"c:\Users\acer\Desktop\app\src\CustomerDetail.js", "JavaScript", 530, 0, 0, 0, 0, 0, 44, 20, 594
"c:\Users\acer\Desktop\app\src\DataVisualization.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\acer\Desktop\app\src\Home.js", "JavaScript", 104, 0, 0, 0, 0, 0, 2, 13, 119
"c:\Users\acer\Desktop\app\src\Login.js", "JavaScript", 92, 0, 0, 0, 0, 0, 6, 4, 102
"c:\Users\acer\Desktop\app\src\NavigationBar.js", "JavaScript", 93, 0, 0, 0, 0, 0, 2, 4, 99
"c:\Users\acer\Desktop\app\src\PersonalCenter.js", "JavaScript", 264, 0, 0, 0, 0, 0, 12, 15, 291
"c:\Users\acer\Desktop\app\src\Search.js", "JavaScript", 287, 0, 0, 0, 0, 0, 24, 25, 336
"c:\Users\acer\Desktop\app\src\UserManagement.js", "JavaScript", 476, 0, 0, 0, 0, 0, 42, 28, 546
"c:\Users\acer\Desktop\app\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\acer\Desktop\app\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 3, 21
"c:\Users\acer\Desktop\app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\acer\Desktop\app\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2501, 12, 18932, 32, 38, 20, 197, 209, 21941
