"filename", "language", "Python", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\acer\Desktop\app\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\Users\acer\Desktop\app\flask\app.py", "Python", 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\acer\Desktop\app\flask\config.py", "Python", 10, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\acer\Desktop\app\flask\controller\customer_management.py", "Python", 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Users\acer\Desktop\app\flask\controller\data_visualization.py", "Python", 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\acer\Desktop\app\flask\controller\follow_up_management.py", "Python", 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\acer\Desktop\app\flask\controller\personal_center.py", "Python", 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\acer\Desktop\app\flask\controller\user_management.py", "Python", 40, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\acer\Desktop\app\flask\dao\activation.py", "Python", 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\acer\Desktop\app\flask\dao\customer.py", "Python", 49, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\acer\Desktop\app\flask\dao\description.py", "Python", 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\acer\Desktop\app\flask\dao\follow_up.py", "Python", 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\acer\Desktop\app\flask\dao\product.py", "Python", 28, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\acer\Desktop\app\flask\dao\user.py", "Python", 108, 0, 0, 0, 0, 0, 2, 11, 121
"c:\Users\acer\Desktop\app\flask\exts.py", "Python", 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\acer\Desktop\app\flask\generate_activation_data.py", "Python", 33, 0, 0, 0, 0, 0, 9, 12, 54
"c:\Users\acer\Desktop\app\flask\generate_customer_data.py", "Python", 51, 0, 0, 0, 0, 0, 7, 11, 69
"c:\Users\acer\Desktop\app\flask\generate_follow_up_data.py", "Python", 34, 0, 0, 0, 0, 0, 15, 9, 58
"c:\Users\acer\Desktop\app\flask\generate_user_data.py", "Python", 43, 0, 0, 0, 0, 0, 9, 13, 65
"c:\Users\acer\Desktop\app\flask\models.py", "Python", 76, 0, 0, 0, 0, 0, 0, 8, 84
"c:\Users\acer\Desktop\app\flask\recommendation.ipynb", "JSON", 0, 0, 0, 1747, 0, 0, 0, 1, 1748
"c:\Users\acer\Desktop\app\flask\service\customer_management.py", "Python", 119, 0, 0, 0, 0, 0, 7, 12, 138
"c:\Users\acer\Desktop\app\flask\service\data_visualization.py", "Python", 47, 0, 0, 0, 0, 0, 4, 8, 59
"c:\Users\acer\Desktop\app\flask\service\follow_up_management.py", "Python", 82, 0, 0, 0, 0, 0, 0, 7, 89
